IFERROR	168779	130
VLOOKUP	100628	69
IF	93526	239
COLUMN	86620	45
STDEV.S	86410	42
SUMIFS	78816	4
SUM	69194	338
COUNT	43316	45
YEAR	21589	36
OR	21055	25
ADDRESS	21017	32
INDIRECT	21017	32
OFFSET	9798	32
MONTH	9686	19
DAY	5906	16
WEEKDAY	5477	6
AND	4629	50
YEARFRAC	3425	9
MOD	2924	3
ISERROR	2462	35
MIN	1973	33
EOMONTH	1723	22
PMT	1352	48
ROW	1222	2
MAX	992	114
SUMPRODUCT	805	134
HLOOKUP	797	16
INDEX	605	43
ISNUMBER	493	1
ISBLANK	386	11
MATCH	380	18
ISNA	272	8
ABS	208	32
DATE	171	6
NPV	169	78
ROUND	154	24
SQRT	153	7
RANDBETWEEN	150	2
_DATATABLE	141	55
COVARIANCE.P	124	4
NA	124	23
PSIBASECASE	95	7
AVERAGE	67	18
RIGHT	61	13
COUNTIF	60	1
PSITRIANGULAR	60	17
NOT	51	6
TEXT	51	24
PSIBERNOULLI	45	2
RAND	44	1
EXP	41	2
LOG	41	2
CHOOSE	40	21
PSILOGNORMAL	40	1
PV	39	13
SUMIF	38	4
NOW	37	13
TODAY	37	7
COUNTA	35	5
ISTEXT	35	5
PSIMEAN	31	13
PSIPERCENTILE	28	4
COVAR	25	1
PSINAME	25	7
PSIOUTPUT	24	11
PSIUNIFORM	24	16
PSIDISCRETE	20	8
LEFT	17	1
PSISENPARAM	15	9
PSIOPTPARAM	14	11
IRR	13	12
ISREF	12	12
PSINORMAL	12	4
RATE	10	2
LOOKUP	8	5
PSIINTUNIFORM	6	1
PSISIMPARAM	5	2
PSITARGET	5	2
STDEV	5	1
PSISTDDEV	4	3
SUMSQ	4	4
ISERR	3	3
CB.RECALCCOUNTERFN	2	2
CEILING	2	2
NORM.S.INV	2	1
ROUNDUP	2	2
XIRR	2	2
PSIBVAR	1	1
PSICVAR	1	1
TRANSPOSE	1	1
